City,Country,Postal Code,Region,State
Laguna Niguel,United States,92677.0,West,California
Bridgeton,United States,8302.0,East,New Jersey
Everett,United States,2149.0,East,Massachusetts
Watertown,United States,13601.0,East,New York
Appleton,United States,54915.0,Central,Wisconsin
Bellevue,United States,98006.0,West,Washington
Allen,United States,75002.0,Central,Texas
El Paso,United States,79907.0,Central,Texas
Grapevine,United States,76051.0,Central,Texas
Carrollton,United States,75007.0,Central,Texas
Smyrna,United States,37167.0,South,Tennessee
Kent,United States,98031.0,West,Washington
Lafayette,United States,70506.0,South,Louisiana
Tigard,United States,97224.0,West,Oregon
Skokie,United States,60076.0,Central,Illinois
Plano,United States,75023.0,Central,Texas
Suffolk,United States,23434.0,South,Virginia
Indianapolis,United States,46203.0,Central,Indiana
Bayonne,United States,7002.0,East,New Jersey
Fayetteville,United States,28314.0,South,North Carolina
Greensboro,United States,27405.0,South,North Carolina
Baltimore,United States,21215.0,East,Maryland
Kenosha,United States,53142.0,Central,Wisconsin
Olathe,United States,66062.0,Central,Kansas
Auburn,United States,98002.0,West,Washington
Tulsa,United States,74133.0,Central,Oklahoma
Redmond,United States,97756.0,West,Oregon
Raleigh,United States,27604.0,South,North Carolina
Muskogee,United States,74403.0,Central,Oklahoma
Meriden,United States,6450.0,East,Connecticut
Bowling Green,United States,42104.0,South,Kentucky
South Bend,United States,46614.0,Central,Indiana
Bristol,United States,6010.0,East,Connecticut
Henderson,United States,89015.0,West,Nevada
Spokane,United States,99207.0,West,Washington
Keller,United States,76248.0,Central,Texas
Fairfield,United States,45014.0,East,Ohio
Port Orange,United States,32127.0,South,Florida
Medford,United States,97504.0,West,Oregon
Charlottesville,United States,22901.0,South,Virginia
Missoula,United States,59801.0,West,Montana
Miami,United States,33178.0,South,Florida
Florence,United States,29501.0,South,South Carolina
Springfield,United States,97477.0,West,Oregon
Apopka,United States,32712.0,South,Florida
Reading,United States,19601.0,East,Pennsylvania
Broomfield,United States,80020.0,West,Colorado
Springfield,United States,65807.0,Central,Missouri
Paterson,United States,7501.0,East,New Jersey
Oklahoma City,United States,73120.0,Central,Oklahoma
Chesapeake,United States,23320.0,South,Virginia
Lubbock,United States,79424.0,Central,Texas
Columbia,United States,65203.0,Central,Missouri
Johnson City,United States,37604.0,South,Tennessee
Auburn,United States,36830.0,South,Alabama
San Bernardino,United States,92404.0,West,California
Leominster,United States,1453.0,East,Massachusetts
Bozeman,United States,59715.0,West,Montana
Peoria,United States,85345.0,West,Arizona
Lakewood,United States,44107.0,East,Ohio
Perth Amboy,United States,8861.0,East,New Jersey
Ontario,United States,91761.0,West,California
Rancho Cucamonga,United States,91730.0,West,California
Moorhead,United States,56560.0,Central,Minnesota
Mesquite,United States,75150.0,Central,Texas
Stockton,United States,95207.0,West,California
Ormond Beach,United States,32174.0,South,Florida
Sunnyvale,United States,94086.0,West,California
Dover,United States,3820.0,East,New Hampshire
York,United States,17403.0,East,Pennsylvania
College Station,United States,77840.0,Central,Texas
Saint Louis,United States,63116.0,Central,Missouri
Quincy,United States,2169.0,East,Massachusetts
Manteca,United States,95336.0,West,California
Kent,United States,44240.0,East,Ohio
San Angelo,United States,76903.0,Central,Texas
Salt Lake City,United States,84106.0,West,Utah
Huntsville,United States,35810.0,South,Alabama
Knoxville,United States,37918.0,South,Tennessee
Little Rock,United States,72209.0,South,Arkansas
Lincoln Park,United States,48146.0,Central,Michigan
Marion,United States,43302.0,East,Ohio
Littleton,United States,80122.0,West,Colorado
Burlington,United States,0.0,East,Vermont
Bangor,United States,4401.0,East,Maine
Southaven,United States,38671.0,South,Mississippi
New Castle,United States,47362.0,Central,Indiana
Midland,United States,48640.0,Central,Michigan
Sioux Falls,United States,57103.0,Central,South Dakota
Fort Collins,United States,80525.0,West,Colorado
Lafayette,United States,47905.0,Central,Indiana
Clarksville,United States,37042.0,South,Tennessee
Sacramento,United States,95823.0,West,California
Thousand Oaks,United States,91360.0,West,California
Malden,United States,2148.0,East,Massachusetts
Holyoke,United States,1040.0,East,Massachusetts
Albuquerque,United States,87105.0,West,New Mexico
Sparks,United States,89431.0,West,Nevada
Coachella,United States,92236.0,West,California
Elmhurst,United States,60126.0,Central,Illinois
Passaic,United States,7055.0,East,New Jersey
North Charleston,United States,29406.0,South,South Carolina
Newport News,United States,23602.0,South,Virginia
Jamestown,United States,14701.0,East,New York
Mishawaka,United States,46544.0,Central,Indiana
Bowling Green,United States,43402.0,East,Ohio
La Quinta,United States,92253.0,West,California
Tallahassee,United States,32303.0,South,Florida
Nashville,United States,37211.0,South,Tennessee
Bellingham,United States,98226.0,West,Washington
Woodstock,United States,60098.0,Central,Illinois
Haltom City,United States,76117.0,Central,Texas
Wheeling,United States,60090.0,Central,Illinois
Summerville,United States,29483.0,South,South Carolina
Hot Springs,United States,71901.0,South,Arkansas
Englewood,United States,80112.0,West,Colorado
Lancaster,United States,43130.0,East,Ohio
Las Cruces,United States,88001.0,West,New Mexico
Hoover,United States,35244.0,South,Alabama
Frisco,United States,75034.0,Central,Texas
Vacaville,United States,95687.0,West,California
Murray,United States,84107.0,West,Utah
Waukesha,United States,53186.0,Central,Wisconsin
Bakersfield,United States,93309.0,West,California
Pompano Beach,United States,33068.0,South,Florida
Troy,United States,45373.0,East,Ohio
Corpus Christi,United States,78415.0,Central,Texas
Redondo Beach,United States,90278.0,West,California
Orlando,United States,32839.0,South,Florida
Orange,United States,7050.0,East,New Jersey
Lake Charles,United States,70601.0,South,Louisiana
Highland Park,United States,60035.0,Central,Illinois
Hempstead,United States,11550.0,East,New York
Noblesville,United States,46060.0,Central,Indiana
Apple Valley,United States,55124.0,Central,Minnesota
Mount Pleasant,United States,29464.0,South,South Carolina
Sterling Heights,United States,48310.0,Central,Michigan
Eau Claire,United States,54703.0,Central,Wisconsin
Pharr,United States,78577.0,Central,Texas
Billings,United States,59102.0,West,Montana
Gresham,United States,97030.0,West,Oregon
Chattanooga,United States,37421.0,South,Tennessee
Meridian,United States,83642.0,West,Idaho
Apple Valley,United States,92307.0,West,California
Bolingbrook,United States,60440.0,Central,Illinois
Maple Grove,United States,55369.0,Central,Minnesota
Woodland,United States,95695.0,West,California
Missouri City,United States,77489.0,Central,Texas
Pearland,United States,77581.0,Central,Texas
San Mateo,United States,94403.0,West,California
Grand Rapids,United States,49505.0,Central,Michigan
Visalia,United States,93277.0,West,California
Overland Park,United States,66212.0,Central,Kansas
Temecula,United States,92592.0,West,California
Yucaipa,United States,92399.0,West,California
Revere,United States,2151.0,East,Massachusetts
Conroe,United States,77301.0,Central,Texas
Tinley Park,United States,60477.0,Central,Illinois
Dubuque,United States,52001.0,Central,Iowa
Dearborn Heights,United States,48127.0,Central,Michigan
Santa Fe,United States,87505.0,West,New Mexico
Hickory,United States,28601.0,South,North Carolina
Carol Stream,United States,60188.0,Central,Illinois
Saint Cloud,United States,56301.0,Central,Minnesota
North Miami,United States,33161.0,South,Florida
Lawrence,United States,46226.0,Central,Indiana
Plantation,United States,33317.0,South,Florida
Port Saint Lucie,United States,34952.0,South,Florida
Rock Hill,United States,29730.0,South,South Carolina
Odessa,United States,79762.0,Central,Texas
West Allis,United States,53214.0,Central,Wisconsin
Chula Vista,United States,91911.0,West,California
Manhattan,United States,66502.0,Central,Kansas
Altoona,United States,16602.0,East,Pennsylvania
Thornton,United States,80229.0,West,Colorado
Champaign,United States,61821.0,Central,Illinois
Bloomington,United States,47401.0,Central,Indiana
Texarkana,United States,71854.0,South,Arkansas
Edinburg,United States,78539.0,Central,Texas
Baytown,United States,77520.0,Central,Texas
Greenwood,United States,46142.0,Central,Indiana
Lakewood,United States,90712.0,West,California
Woonsocket,United States,2895.0,East,Rhode Island
Superior,United States,54880.0,Central,Wisconsin
Bedford,United States,76021.0,Central,Texas
Covington,United States,98042.0,West,Washington
Broken Arrow,United States,74012.0,Central,Oklahoma
Miramar,United States,33023.0,South,Florida
Hollywood,United States,33021.0,South,Florida
Deer Park,United States,77536.0,Central,Texas
Wichita,United States,67212.0,Central,Kansas
Mcallen,United States,78501.0,Central,Texas
Iowa City,United States,52240.0,Central,Iowa
Boise,United States,83704.0,West,Idaho
Cranston,United States,2920.0,East,Rhode Island
Freeport,United States,61032.0,Central,Illinois
Port Arthur,United States,77642.0,Central,Texas
Citrus Heights,United States,95610.0,West,California
The Colony,United States,75056.0,Central,Texas
Redmond,United States,98052.0,West,Washington
Daytona Beach,United States,32114.0,South,Florida
Bullhead City,United States,86442.0,West,Arizona
Portage,United States,46368.0,Central,Indiana
Fargo,United States,58103.0,Central,North Dakota
Elkhart,United States,46514.0,Central,Indiana
San Gabriel,United States,91776.0,West,California
Margate,United States,33063.0,South,Florida
Sandy Springs,United States,30328.0,South,Georgia
Mentor,United States,44060.0,East,Ohio
Lawton,United States,73505.0,Central,Oklahoma
Hampton,United States,23666.0,South,Virginia
Rome,United States,13440.0,East,New York
La Crosse,United States,54601.0,Central,Wisconsin
Lewiston,United States,83501.0,West,Idaho
Hattiesburg,United States,39401.0,South,Mississippi
Danville,United States,94526.0,West,California
Mount Pleasant,United States,48858.0,Central,Michigan
Logan,United States,84321.0,West,Utah
Waterbury,United States,6708.0,East,Connecticut
Athens,United States,30605.0,South,Georgia
Lewiston,United States,4240.0,East,Maine
Danville,United States,61832.0,Central,Illinois
Avondale,United States,85323.0,West,Arizona
Marietta,United States,30062.0,South,Georgia
Yuma,United States,85364.0,West,Arizona
Wausau,United States,54401.0,Central,Wisconsin
Pasco,United States,99301.0,West,Washington
Oak Park,United States,60302.0,Central,Illinois
Pensacola,United States,32503.0,South,Florida
League City,United States,77573.0,Central,Texas
Gaithersburg,United States,20877.0,East,Maryland
Lehi,United States,84043.0,West,Utah
Tuscaloosa,United States,35401.0,South,Alabama
Moreno Valley,United States,92553.0,West,California
Georgetown,United States,40324.0,South,Kentucky
Loveland,United States,80538.0,West,Colorado
Chandler,United States,85224.0,West,Arizona
Helena,United States,59601.0,West,Montana
Kirkwood,United States,63122.0,Central,Missouri
Waco,United States,76706.0,Central,Texas
Roseville,United States,48066.0,Central,Michigan
Frankfort,United States,60423.0,Central,Illinois
Bethlehem,United States,18018.0,East,Pennsylvania
Roseville,United States,55113.0,Central,Minnesota
Grand Island,United States,68801.0,Central,Nebraska
Woodbury,United States,55125.0,Central,Minnesota
Oak Park,United States,48237.0,Central,Michigan
Rogers,United States,72756.0,South,Arkansas
Clovis,United States,88101.0,West,New Mexico
Jupiter,United States,33458.0,South,Florida
Santa Barbara,United States,93101.0,West,California
Cedar Hill,United States,75104.0,Central,Texas
Norfolk,United States,68701.0,Central,Nebraska
Draper,United States,84020.0,West,Utah
Ann Arbor,United States,48104.0,Central,Michigan
La Mesa,United States,91941.0,West,California
Pocatello,United States,83201.0,West,Idaho
Holland,United States,49423.0,Central,Michigan
Milford,United States,6460.0,East,Connecticut
Buffalo Grove,United States,60089.0,Central,Illinois
Lake Forest,United States,92630.0,West,California
Redding,United States,96003.0,West,California
Chico,United States,95928.0,West,California
Utica,United States,13501.0,East,New York
Conway,United States,72032.0,South,Arkansas
Cheyenne,United States,82001.0,West,Wyoming
Owensboro,United States,42301.0,South,Kentucky
Caldwell,United States,83605.0,West,Idaho
Kenner,United States,70065.0,South,Louisiana
Nashua,United States,3060.0,East,New Hampshire
Bartlett,United States,38134.0,South,Tennessee
Redwood City,United States,94061.0,West,California
Lebanon,United States,37087.0,South,Tennessee
Santa Maria,United States,93454.0,West,California
Des Plaines,United States,60016.0,Central,Illinois
Longview,United States,98632.0,West,Washington
Hendersonville,United States,37075.0,South,Tennessee
Waterloo,United States,50701.0,Central,Iowa
Cambridge,United States,2138.0,East,Massachusetts
Palatine,United States,60067.0,Central,Illinois
Beverly,United States,1915.0,East,Massachusetts
Eugene,United States,97405.0,West,Oregon
Oxnard,United States,93030.0,West,California
Renton,United States,98059.0,West,Washington
Glenview,United States,60025.0,Central,Illinois
Delray Beach,United States,33445.0,South,Florida
Commerce City,United States,80022.0,West,Colorado
Texas City,United States,77590.0,Central,Texas
Wilson,United States,27893.0,South,North Carolina
Rio Rancho,United States,87124.0,West,New Mexico
Goldsboro,United States,27534.0,South,North Carolina
Everett,United States,98208.0,West,Washington
Montebello,United States,90640.0,West,California
El Cajon,United States,92020.0,West,California
Beaumont,United States,77705.0,Central,Texas
West Palm Beach,United States,33407.0,South,Florida
Abilene,United States,79605.0,Central,Texas
Normal,United States,61761.0,Central,Illinois
Saint Charles,United States,63301.0,Central,Missouri
Saint Charles,United States,60174.0,Central,Illinois
Camarillo,United States,93010.0,West,California
Hillsboro,United States,97123.0,West,Oregon
Burbank,United States,91505.0,West,California
Modesto,United States,95351.0,West,California
Garden City,United States,67846.0,Central,Kansas
Atlantic City,United States,8401.0,East,New Jersey
Longmont,United States,80501.0,West,Colorado
Davis,United States,95616.0,West,California
Wheeling,United States,26003.0,East,West Virginia
Morgan Hill,United States,95037.0,West,California
Clifton,United States,7011.0,East,New Jersey
Sheboygan,United States,53081.0,Central,Wisconsin
East Point,United States,30344.0,South,Georgia
Rapid City,United States,57701.0,Central,South Dakota
Andover,United States,1810.0,East,Massachusetts
Kissimmee,United States,34741.0,South,Florida
Shelton,United States,6484.0,East,Connecticut
Danbury,United States,6810.0,East,Connecticut
Marion,United States,52302.0,Central,Iowa
Sanford,United States,32771.0,South,Florida
San Marcos,United States,78666.0,Central,Texas
Greeley,United States,80634.0,West,Colorado
Mansfield,United States,76063.0,Central,Texas
Elyria,United States,44035.0,East,Ohio
Twin Falls,United States,83301.0,West,Idaho
Coral Gables,United States,33134.0,South,Florida
Romeoville,United States,60441.0,Central,Illinois
Marlborough,United States,1752.0,East,Massachusetts
Laurel,United States,20707.0,East,Maryland
Bryan,United States,77803.0,Central,Texas
Pine Bluff,United States,71603.0,South,Arkansas
Aberdeen,United States,57401.0,Central,South Dakota
Hagerstown,United States,21740.0,East,Maryland
East Orange,United States,7017.0,East,New Jersey
Arlington Heights,United States,60004.0,Central,Illinois
Oswego,United States,60543.0,Central,Illinois
Coon Rapids,United States,55433.0,Central,Minnesota
San Clemente,United States,92672.0,West,California
Dublin,United States,94568.0,West,California
San Luis Obispo,United States,93405.0,West,California
Springdale,United States,72762.0,South,Arkansas
